127.0.0.1, 2016-11-13 13:15:34, GET, /, HTTP/1.1, 303, 10.283798
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/default/index, HTTP/1.1, 200, 1.431079
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000573
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002457
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001123
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002149
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004743
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002350
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004244
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000729
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001517
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003442
127.0.0.1, 2016-11-13 13:15:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000692
127.0.0.1, 2016-11-13 13:15:39, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000491
127.0.0.1, 2016-11-13 13:15:39, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000499
127.0.0.1, 2016-11-13 13:15:39, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000537
127.0.0.1, 2016-11-13 13:15:39, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001596
127.0.0.1, 2016-11-13 13:15:39, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000841
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/default/index, HTTP/1.1, 200, 0.063726
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000813
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000702
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.002091
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000754
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000516
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001954
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000949
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000720
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001364
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.003715
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.003216
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001078
127.0.0.1, 2016-11-13 13:16:00, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.002404
127.0.0.1, 2016-11-13 13:16:34, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.272548
127.0.0.1, 2016-11-13 13:16:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000530
127.0.0.1, 2016-11-13 13:16:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000583
127.0.0.1, 2016-11-13 13:16:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.041978
127.0.0.1, 2016-11-13 13:16:39, GET, /admin/default/edit/welcome/models/menu.py, HTTP/1.1, 200, 0.005100
127.0.0.1, 2016-11-13 13:16:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.032965
